"id","place_name","state","city","city_tag","phone","category","description","image_url","reviews_count","rating","lat","lng"
11,Tebet Eco Park,Daerah Khusus Ibukota Jakarta,Kota Jakarta Selatan,jakarta,+62 21 5328454,Wisata Alam,"Area hijau tepi sungai luas dengan jalur joging, taman bermain kecil, dan kios makanan akhir pekan.",https://storage.googleapis.com/travelease-bucket/jakarta/tebet_eco_park.jpg,24677,4.7,-6.2373489,"106.8529248"
12,Galeri Indonesia Kaya,Daerah Khusus Ibukota Jakarta,Kota Jakarta Pusat,jakarta,+62 21 23580679,Wisata Budaya dan Sejarah,"Ruang edutainment budaya persembahan Bakti Budaya Djarum Foundation yang berbasis teknologi digital dari Indonesia untuk Indonesia yang menyuguhkan informasi kekayaan budaya nusantara. Mulai dari alat musik tradisional, mainan tradisional, baju adat, sampai informasi tentang kuliner, pariwisata, tradisi dan kesenian dikemas secara digital dan interaktif di tempat pertunjukan ini.",https://storage.googleapis.com/travelease-bucket/jakarta/galeri_indonesia_kaya.jpg,1725,4.8,-6.1948499,"106.8200607"
13,Taman Impian Jaya Ancol,Daerah Khusus Ibukota Jakarta,Jkt Utara,jakarta,-,Wisata Rekreasi dan Keluarga,"Resor keluarga di tepi pantai dengan taman hiburan, wahana air, beberapa hotel, & lapangan golf.",https://storage.googleapis.com/travelease-bucket/jakarta/taman_impian_jaya_ancol.jpg,44219,4.5,-6.1252747,"106.8335569"
14,Kampoeng Gallery,Daerah Khusus Ibukota Jakarta,Kota Jakarta Selatan,jakarta,+62 21 29126082,Wisata Budaya dan Sejarah,"Kampoeng Gallery, kafe bertema antik di Jakarta, menawarkan suasana nostalgia dengan dekorasi vintage dan koleksi unik",https://storage.googleapis.com/travelease-bucket/jakarta/kampoeng_gallery.jpg,1125,4.6,-6.2378611,"106.7827223"
15,Taman Sumenep,Daerah Khusus Ibukota Jakarta,Kota Jakarta Pusat,jakarta,-,Wisata Rekreasi dan Keluarga,"Taman Sumenep adalah salah satu taman kota yang berada di kawasan Menteng, Jakarta Pusat, yang terkenal dengan suasana asri dan nyaman. Lokasinya strategis, tepat di Jl. Sumenep, menjadikan taman ini pilihan ideal untuk bersantai sejenak dari kesibukan kota",https://storage.googleapis.com/travelease-bucket/jakarta/taman_sumenep.jpg,70,4.6,-6.2020374,"106.82754"
16,Urban Farm PIK,Daerah Khusus Ibukota Jakarta,-,jakarta,-,Wisata Rekreasi dan Keluarga,"Mal modern outdoor dengan kafe nyaman, kedai camilan, toko, serta penjual buah dan sayuran.",https://storage.googleapis.com/travelease-bucket/jakarta/urban_farm_pik.jpg,1711,4.7,-6.0907529,"106.7429807"
17,Taman Tangkuban Perahu,Daerah Khusus Ibukota Jakarta,Kota Jakarta Selatan,jakarta,-,Wisata Rekreasi dan Keluarga,"Taman melingkar di area perumahan yang teduh dengan peralatan bermain, penjual camilan, dan jalan setapak.",https://storage.googleapis.com/travelease-bucket/jakarta/taman_tangkuban_perahu.jpg,4376,4.5,-6.2076521,"106.8352437"
18,Kawasan Wisata Kota Tua Jakarta,Daerah Khusus Ibukota Jakarta,Kota Jakarta Barat,jakarta,-,Wisata Budaya dan Sejarah,"Distrik bersejarah tempat bangunan kolonial Belanda, museum & alun-alun ramai dengan pertunjukan jalanan.",https://storage.googleapis.com/travelease-bucket/jakarta/kawasan_wisata_kota_tua_jakarta.jpg,22257,4.6,-6.1350687,"106.8136795"
19,Taman Fatahillah,Daerah Khusus Ibukota Jakarta,Kota Jakarta Barat,jakarta,-,Wisata Budaya dan Sejarah,"Lapangan ramai dikelilingi bangunan bersejarah & museum, dengan pertunjukan jalanan rutin.",https://storage.googleapis.com/travelease-bucket/jakarta/taman_fatahillah.jpg,27140,4.6,-6.134669,"106.8132041"
20,Atlantis Water Adventures Ancol,Daerah Khusus Ibukota Jakarta,Jkt Utara,jakarta,-,Wisata Rekreasi dan Keluarga,Taman rekreasi air yang luas dengan banyak tanaman & atraksi seperti kolam ombak & tempat bermain apung.,https://storage.googleapis.com/travelease-bucket/jakarta/atlantis_water_adventures_ancol.jpg,10429,4.5,-6.12419,"106.839134"
21,The Playground,Daerah Khusus Ibukota Jakarta,Kota Jakarta Selatan,jakarta,+62 21 7196962,Wisata Rekreasi dan Keluarga,"Taman anak-anak penuh warna dengan peralatan bermain, pancuran air, ring basket & miniatur zip line.",https://storage.googleapis.com/travelease-bucket/jakarta/the_playground.jpg,936,4.5,-6.270935,"106.820763"
22,Alive Museum Ancol,Daerah Khusus Ibukota Jakarta,Jkt Utara,jakarta,+62 21 29388143,Wisata Budaya dan Sejarah,Patung lilin & beberapa tempat berfoto yang memberikan ilusi kepada pengunjung adalah bagian pemandangan unik.,https://storage.googleapis.com/travelease-bucket/jakarta/alive_museum_ancol.jpg,1179,4.3,-6.1175344,"106.857313"
23,Museum Tekstil Jakarta,Daerah Khusus Ibukota Jakarta,Kota Jakarta Barat,jakarta,+62 21 5606613,Wisata Budaya dan Sejarah,"Bertempat di sebuah rumah abad ke-19, museum ini memamerkan tekstil tradisional yang penuh warna.",https://storage.googleapis.com/travelease-bucket/jakarta/museum_tekstil_jakarta.jpg,2940,4.5,-6.1882117,"106.8097432"
24,Allianz Eco Park,Daerah Khusus Ibukota Jakarta,Jkt Utara,jakarta,+62 21 29222222,Wisata Rekreasi dan Keluarga,"Taman petualangan outdoor dengan panahan, zip line, paintball, berperahu & aktivitas lainnya.",https://storage.googleapis.com/travelease-bucket/jakarta/allianz_eco_park.jpg,6677,4.6,-6.1257185,"106.836356"
25,Sea World Indonesia,Daerah Khusus Ibukota Jakarta,Jkt Utara,jakarta,-,Wisata Rekreasi dan Keluarga,"Akuarium besar yang modern dengan hiu, aneka pertunjukan memberi makan hewan, kolam sentuh, & toko.",https://storage.googleapis.com/travelease-bucket/jakarta/sea_world_indonesia.jpg,43983,4.5,-6.126601,"106.842958"
26,Jakarta AQuarium Safari,Daerah Khusus Ibukota Jakarta,Kota Jakarta Barat,jakarta,+62 21 27893435,Wisata Rekreasi dan Keluarga,"Jakarta Akuarium dan Safari adalah akuarium indoor terbesar di Indonesia, di bawah naungan Taman Safari Indonesia dan bekerja sama dengan Aquaria KLCC, Malaysia. Di sekitar kawasan konservasi seluas satu hektar ini, Anda bisa melihat lebih dari 3.500 spesies hewan akuatik dan non-akuatik.",https://storage.googleapis.com/travelease-bucket/jakarta/jakarta_aquarium_safari.jpg,10666,4.7,-6.1749533,"106.7900155"
27,Ancol Learning Farm (Bertani),Daerah Khusus Ibukota Jakarta,Jkt Utara,jakarta,+62 877-8222-2422,Wisata Rekreasi dan Keluarga,"Ancol Learning Farm adalah destinasi unik di kawasan Ancol, Jakarta Utara, yang menawarkan pengalaman bertani langsung di lingkungan yang edukatif dan menyenangkan.",https://storage.googleapis.com/travelease-bucket/jakarta/ancol_learning_farm_(bertani).jpg,39,4.6,-6.1243948,"106.8376908"
28,Taman Hutan Kota Penjaringan,Daerah Khusus Ibukota Jakarta,Jkt Utara,jakarta,+62 857-7040-6227,Wisata Alam,"Taman Hutan Kota Penjaringan adalah ruang hijau asri di Jakarta Utara yang menawarkan pemandangan hutan mini lengkap dengan jalur jogging, kolam, dan area bermain. Tempat ini cocok untuk bersantai, berolahraga, atau menikmati udara segar di tengah kota",https://storage.googleapis.com/travelease-bucket/jakarta/taman_hutan_kota_penjaringan.jpg,3830,4.5,-6.1329076,"106.7837762"
29,Taman Lapangan Banteng,Daerah Khusus Ibukota Jakarta,Kota Jakarta Pusat,jakarta,-,Wisata Alam,"Taman modern dengan jalur lari, taman bermain & amfiteater, plus air mancur & pertunjukan lampu saat malam.",https://storage.googleapis.com/travelease-bucket/jakarta/taman_lapangan_banteng.jpg,26724,4.7,-6.170555,"106.8350378"
30,Museum Bank Indonesia,Daerah Khusus Ibukota Jakarta,Kota Jakarta Barat,jakarta,+62 812-9157-3940,Wisata Budaya dan Sejarah,"Museum yang menampilkan sejarah perbankan lokal, termasuk mata uang antik & uang kertas internasional.",https://storage.googleapis.com/travelease-bucket/jakarta/museum_bank_indonesia.jpg,10637,4.7,-6.1371066,"106.8129846"
31,Toko Merah,Daerah Khusus Ibukota Jakarta,Kota Jakarta Barat,jakarta,-,Wisata Budaya dan Sejarah,"Peninggalan langka dari era kolonial Belanda, rumah tahun 1730 ini dulunya kediaman gubernur jenderal.",https://storage.googleapis.com/travelease-bucket/jakarta/toko_merah.jpg,3352,4.6,-6.1359743,"106.8113018"
32,Pantjoran Pantai Indah Kapuk,Daerah Khusus Ibukota Jakarta,-,jakarta,-,Pasar Tradisional dan Pusat Budaya,"Kumpulan bangunan dengan desain indah yang menampilkan Chinatown tua, dengan toko makanan & kios kaki lima.",https://storage.googleapis.com/travelease-bucket/jakarta/pantjoran_pantai_indah_kapuk.jpg,12265,4.7,-6.0905524,"106.7444756"
33,Taman Waduk Pluit,Daerah Khusus Ibukota Jakarta,Jkt Utara,jakarta,-,Wisata Alam,"Ruang hijau di sekeliling danau ini memiliki hamparan rumput & pepohonan yang rindang, plus jalan & bangku.",https://storage.googleapis.com/travelease-bucket/jakarta/taman_waduk_pluit.jpg,9239,4.4,-6.1137292,"106.7950497"
34,Kawasan Ekowisata Mangrove PIK,Daerah Khusus Ibukota Jakarta,Jkt Utara,jakarta,-,Wisata Alam,"Area rekreasi pusat kota dengan jalan setapak di hutan bakau, plus kolam pancing & monyet lokal.",https://storage.googleapis.com/travelease-bucket/jakarta/kawasan_ekowisata_mangrove_pik.jpg,4491,4.3,-6.1220799,"106.7609549"
35,"Katedral Jakarta, Santa Maria Diangkat ke Surga",Daerah Khusus Ibukota Jakarta,Kota Jakarta Pusat,jakarta,+62 21 3519186,Tempat Ibadah,"Tempat ibadah Katolik Roma bergaya Neo-Gotik yang direstorasi, dibangun tahun 1901 dengan 3 menara & 3 altar.","https://storage.googleapis.com/travelease-bucket/jakarta/katedral_jakarta,_santa_maria_diangkat_ke_surga.jpg",12789,4.8,-6.1691893,"106.8328484"
36,Museum Sejarah Jakarta,Daerah Khusus Ibukota Jakarta,Kota Jakarta Barat,jakarta,+62 21 6929101,Wisata Budaya dan Sejarah,"Menempati bangunan dari abad ke-18, museum ini menjadi rumah untuk berbagai pameran tentang sejarah Jakarta.",https://storage.googleapis.com/travelease-bucket/jakarta/museum_sejarah_jakarta.jpg,22550,4.6,-6.1352,"106.8133"
37,Ocean Dream Samudra - Ancol,Daerah Khusus Ibukota Jakarta,Jkt Utara,jakarta,-,Wisata Pantai,"Taman hiburan bertema air yang menampilkan pertunjukan bawah laut, akuarium, & pentas hewan laut.",https://storage.googleapis.com/travelease-bucket/jakarta/ocean_dream_samudra_-_ancol.jpg,9672,4.6,-6.125018,"106.8436004"
38,Taman Situ Lembang,Daerah Khusus Ibukota Jakarta,Kota Jakarta Pusat,jakarta,-,Wisata Alam,"Ruang hijau kuno dekat kolam pancing dengan pepohonan teduh, jalan beraspal & perlengkapan bermain anak.",https://storage.googleapis.com/travelease-bucket/jakarta/taman_situ_lembang.jpg,6456,4.6,-6.1973783,"106.8343448"
39,Taman Wisata Alam Mangrove Angke Kapuk,Daerah Khusus Ibukota Jakarta,Jkt Utara,jakarta,+62 811-1787-890,Wisata Alam,"Suaka margasatwa ini memiliki banyak pohon bakau, serta monyet dan berbagai jenis burung.",https://storage.googleapis.com/travelease-bucket/jakarta/taman_wisata_alam_mangrove_angke_kapuk.jpg,15942,4.3,-6.1064903,"106.7368887"
40,Faunaland Ancol,Daerah Khusus Ibukota Jakarta,Jkt Utara,jakarta,+62 21 29222222,Wisata Pantai,"Kebun binatang kecil dengan singa, keledai & kura-kura raksasa, dan pertunjukan burung & zona interaksi satwa.",https://storage.googleapis.com/travelease-bucket/jakarta/faunaland_ancol.jpg,3724,4.5,-6.1243125,"106.8358125"
41,Monumen Selamat Datang,Daerah Khusus Ibukota Jakarta,Kota Jakarta Pusat,jakarta,-,Wisata Budaya dan Sejarah,"Monumen ikonis di tengah air mancur, menggambarkan pria & wanita dengan gerakan menyambut.",https://storage.googleapis.com/travelease-bucket/jakarta/monumen_selamat_datang.jpg,8587,4.7,-6.1949841,"106.8230272"
42,Suaka Margasatwa Muara Angke,Daerah Khusus Ibukota Jakarta,Jkt Utara,jakarta,-,Wisata Alam,"Hutan kota dengan jalan kayu di bawah pepohonan bakau, monyet ekor panjang & habitat burung yang dilindungi.",https://storage.googleapis.com/travelease-bucket/jakarta/suaka_margasatwa_muara_angke.jpg,663,4.3,-6.1160075,"106.7692016"
43,Imagispace,Daerah Khusus Ibukota Jakarta,Kota Jakarta Pusat,jakarta,-,Creative Space,Imagispace menghadirkan pameran seni digital yang begitu estetis dan instagramable. Pengunjung dapat menemukan instalasi seni penuh makna dan berkesan di tempat ini.,https://storage.googleapis.com/travelease-bucket/jakarta/imagispace.jpg,83,4.4,-6.2254694,"106.7994139"
44,Taman Mataram Jakarta,Daerah Khusus Ibukota Jakarta,Kota Jakarta Selatan,jakarta,-,Wisata Alam,Oasis kota yang luas dan indah dengan taman bermain & jalan setapak berkelok yang rindang.,https://storage.googleapis.com/travelease-bucket/jakarta/taman_mataram_jakarta.jpg,3335,4.6,-6.2328196,"106.7995376"
45,KidZania Jakarta,Daerah Khusus Ibukota Jakarta,Kota Jakarta Selatan,jakarta,+62 21 5154888,Tempat Bermain Anak-Anak,"KidZania Jakarta adalah pusat rekreasi waralaba asal Meksiko yang menyajikan konsep bermain sambil belajar bagi anak-anak usia taman kanak-kanak sampai sekolah dasar. Dengan konsep replika kota dalam ukuran anak-anak, pusat rekreasi ini memiliki jalan raya, bangunan, ritel juga berbagai kendaran yang berjalan di sekeliling kota. Kidzania Jakarta adalah waralaba pertama di Asia Tenggara dan kedua di luar Meksiko setelah Jepang.",https://storage.googleapis.com/travelease-bucket/jakarta/kidzania_jakarta.jpg,10519,4.6,-6.2250735,"106.8097144"
46,Taman Langsat,Daerah Khusus Ibukota Jakarta,Kota Jakarta Selatan,jakarta,-,Wisata Alam,"Taman rindang yang terletak di pinggir sungai kecil, dengan trek jogging, taman bermain & kolam teratai.",https://storage.googleapis.com/travelease-bucket/jakarta/taman_langsat.jpg,5238,4.5,-6.2440393,"106.7929958"
47,Taman Ayodia - Barito,Daerah Khusus Ibukota Jakarta,Kota Jakarta Selatan,jakarta,-,Wisata Alam,"Taman kecil yang menawan di tengah danau, dengan air mancur & jalan setapak, plus gazebo & pujasera.",https://storage.googleapis.com/travelease-bucket/jakarta/taman_ayodia_-_barito.jpg,10648,4.5,-6.2453376,"106.7945996"
48,Masjid Agung Al-Munada Darussalam Baiturrahman (Masjid Perahu),Jakarta,South Jakarta City,jakarta,-,Tempat Ibadah,"Masjid Agung Al Munada Darussalam Baiturrahman terletak atau terkenal dengan sebutan Masjid Perahu ini berlokasi di Jl. Menteng Pulo Raya No.23, RT.3/RW.5, Menteng Dalam, Tebet, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12960. Bangunan masjid cukup unik dan menarik karena perahu yang ada persis di sebelah masjid. Untuk menuju ke masjid perahu itu harus melalui gang kecil dan tidak bisa dilalui dengan kendaraan. Menurut kisahnya, soal bentuk perahu di masjid ini, bukan karena KH Abdurrahman Masum bekas seorang pelaut tapi karena ia sangat mengagumi kisah Nabi Nuh as yang menyelamatkan umatnya lewat sebuah perahu besar.",https://storage.googleapis.com/travelease-bucket/jakarta/masjid_agung_al-munada_darussalam_baiturrahman_(masjid_perahu).jpg,511,4.7,-6.2229181,"106.8456828"
49,Starbucks Setiabudi One,Jakarta,South Jakarta City,jakarta,-,Coffee Shop,"Seattle-based coffeehouse chain known for its signature roasts, light bites and WiFi availability.",https://storage.googleapis.com/travelease-bucket/jakarta/starbucks_setiabudi_one.jpg,973,4.5,-6.2157754,"106.8301967"
50,Taman Impian Jaya Ancol,Jakarta,North Jakarta City,jakarta,-,Wisata Rekreasi dan Keluarga,"Waterside amusement complex featuring bustling beaches, restaurants, games, rides & more.",https://storage.googleapis.com/travelease-bucket/jakarta/taman_impian_jaya_ancol.jpg,5468,4.6,-6.1173332,"106.8579951"
51,Rahmat International Wildlife Museum & Gallery,Sumatera Utara,Kota Medan,medan,+62 61 4569964,Wisata Budaya dan Sejarah,"Pameran hewan taksidermi yang mendetail di habitat alaminya, juga memiliki kafe & toko suvenir.",https://storage.googleapis.com/travelease-bucket/medan/rahmat_international_wildlife_museum_&_gallery.jpg,2795,4.6,"3.5792189","98.6674906"
52,Tjong A Fie Mansion,Sumatera Utara,Kota Medan,medan,+62 811-6130-388,Tujuan Wisata,"Dibangun pada 1895, rumah pengusaha ternama Tjong A Fie yang dipugar, menyediakan galeri dan tur berpemandu.",https://storage.googleapis.com/travelease-bucket/medan/tjong_a_fie_mansion.jpg,3145,4.6,"3.5853631","98.6802302"
53,TAMAN WISATA DANAU SIOMBAK MARELAN,Sumatera Utara,Kota Medan,medan,+62 812-6326-301,Wisata Alam,"Danau buatan di pedesaan dengan penyewaan perahu kecil, pemancingan, tempat piknik, & penjaja makanan.",https://storage.googleapis.com/travelease-bucket/medan/taman_wisata_danau_siombak_marelan.jpg,1291,4.0,"3.7266473","98.6631891"
54,Museum Negeri Sumatera Utara,Sumatera Utara,Kota Medan,medan,-,Wisata Budaya dan Sejarah,"Museum kecil yang mencatat sejarah & budaya lokal, dengan artefak suku & tur berpemandu.",https://storage.googleapis.com/travelease-bucket/medan/museum_negeri_sumatera_utara.jpg,2713,4.5,"3.5681315","98.6963665"
55,Kuil Shri Mariamman,Sumatera Utara,Kota Medan,medan,-,Wisata Budaya dan Sejarah,"Dibangun tahun 1884, tempat pemujaan dewi hujan Hindu ini berdekorasi warna-warni & penuh ornamen.",https://storage.googleapis.com/travelease-bucket/medan/kuil_shri_mariamman.jpg,958,4.6,"3.583902","98.671177"
56,Pubbarama Buddhist Centre (PBC),Sumatera Utara,Kota Medan,medan,+62 812-6922-2666,Tujuan Wisata,"A good place for your spiritual life. For buddhist, you can pray and do some meditation. There is also activities for kids on Sunday.",https://storage.googleapis.com/travelease-bucket/medan/pubbarama_buddhist_centre_(pbc).jpg,334,4.7,"3.6698031","98.662261"
57,Taman Ahmad Yani Medan,Sumatera Utara,Kota Medan,medan,-,Taman,"Ruang hijau kota yang semarak dengan jalur rindang yang luas, perlengkapan gym outdoor & taman bermain.",https://storage.googleapis.com/travelease-bucket/medan/taman_ahmad_yani_medan.jpg,4399,4.4,"3.5764231","98.6766434"
58,Kampoeng Selfie (Kongsi),Sumatera Utara,Kota Medan,medan,-,Tujuan Wisata,"Kampoeng Selfie (Kongsi) adalah Kampung wisata dengan berbagai spot foto yang menarik. Terletak di Kota Medan provinsi Sumatera Utara, Kampoeng Selfie (Kongsi) mudah diakses dengan berbagai moda transportasi.",https://storage.googleapis.com/travelease-bucket/medan/kampoeng_selfie_(kongsi).jpg,191,4.3,"3.5732505","98.6677143"
59,Penangkaran Buaya Asam Kumbang,Sumatera Utara,Kota Medan,medan,+62 61 8211134,Kebun Binatang,Taman seluas 2 hektar yang telah lama berdiri ini memiliki ribuan buaya muda sampai tua.,https://storage.googleapis.com/travelease-bucket/medan/penangkaran_buaya_asam_kumbang.jpg,2318,4.2,"3.5663129","98.6197935"
60,Oleh Oleh Medan MARKISA NOERLEN Home Made since 1985,Sumatera Utara,Kota Medan,medan,+62 811-6320-178,Shopping area,"Oleh Oleh Medan MARKISA NOERLEN Home Made adalah salah satu produk oleh-oleh khas Medan yang terkenal dengan olahan markisa (passion fruit) berkualitas tinggi. Produk unggulannya meliputi selai markisa, jus markisa, dan berbagai camilan khas lainnya yang menawarkan cita rasa segar dan khas Medan.",https://storage.googleapis.com/travelease-bucket/medan/oleh_oleh_medan_markisa_noerlen_home_made_since_1985.jpg,322,4.4,"3.5800011","98.6563012"
61,Taman Gajah Mada,Sumatera Utara,Kota Medan,medan,-,Taman,"Tempat kecil yang bagus untuk jogging, bersantai, atau sekadar berjalan-jalan. Di sana juga disediakan beberapa alat untuk melakukan beberapa latihan tubuh. Kebanyakan orang datang sekitar pukul 16.00",https://storage.googleapis.com/travelease-bucket/medan/taman_gajah_mada.jpg,3487,4.3,"3.5842487","98.6588732"
62,Graha Maria Annai Velangkanni,Sumatera Utara,Kota Medan,medan,+62 61 8201943,Wisata Budaya dan Sejarah,"Dibangun pada tahun 2005, gereja Katolik bergaya Indo-Mogul ini dipersembahkan untuk Our Lady of Good Health.",https://storage.googleapis.com/travelease-bucket/medan/graha_maria_annai_velangkanni.jpg,4515,4.8,"3.54757","98.608666"
63,Ibis Styles Medan Pattimura,North Sumatra,Medan City,medan,+62 61 88812300,Hotel,"Industrial-chic rooms in a modern hotel offering an indoor pool, a gym & a restaurant, plus a bar.",https://storage.googleapis.com/travelease-bucket/medan/ibis_styles_medan_pattimura.jpg,2955,4.4,"3.5738748","98.6635866"
64,Swiss-Belinn Gajah Mada Medan,North Sumatra,Medan City,medan,+62 61 42008999,Hotel,"Refined hotel offering a rooftop bar with city views, plus an outdoor pool & free breakfast.",https://storage.googleapis.com/travelease-bucket/medan/swiss-belinn_gajah_mada_medan.jpg,5040,4.6,"3.5845162","98.658051"
65,Asam Kumbang Crocodile Farm,North Sumatra,Medan City,medan,+62 61 8211134,Kebun Binatang,Asam Kumbang Crocodile Farm merupakan destinasi yang menarik bagi wisatawan yang ingin belajar lebih tentang reptil dan melihat langsung kehidupan buaya dalam lingkungan yang aman.,https://storage.googleapis.com/travelease-bucket/medan/asam_kumbang_crocodile_farm.jpg,53,4.6,"3.5663137","98.6197923"
66,Radisson Medan,North Sumatra,Medan City,medan,+62 61 4563888,Hotel,"Relaxed rooms & suites in a casual hotel offering an outdoor pool, plus dining & free breakfast.",https://storage.googleapis.com/travelease-bucket/medan/radisson_medan.jpg,6389,4.7,"3.5940309","98.6684595"
67,JW Marriott Hotel Medan,North Sumatra,Medan City,medan,+62 61 4553333,Hotel,"Sophisticated rooms & suites, plus multiple dining options & a spa, plus indoor & outdoor pools.",https://storage.googleapis.com/travelease-bucket/medan/jw_marriott_hotel_medan.jpg,12652,4.6,"3.5966004","98.675827"
68,Aryaduta Medan,North Sumatra,Medan City,medan,+62 61 4572999,Hotel,Sophisticated rooms & suites in an upscale hotel offering a stylish restaurant & a courtyard pool.,https://storage.googleapis.com/travelease-bucket/medan/aryaduta_medan.jpg,5050,4.5,"3.5898691","98.674173"
69,Grand Mercure Maha Cipta Medan Angkasa,North Sumatra,Medan City,medan,+62 61 4555888,Hotel,"Warmly decorated rooms in a contemporary hotel with 2 restaurants, an outdoor pool & a gym.",https://storage.googleapis.com/travelease-bucket/medan/grand_mercure_maha_cipta_medan_angkasa.jpg,7866,4.5,"3.5978888","98.6820785"
70,Sushi Tei Centre Point,North Sumatra,Medan City,medan,+62 61 62001103,Japanese restaurant,Tempat yang bagus untuk menikmati Sushi dan masakan Jepang lainnya.,https://storage.googleapis.com/travelease-bucket/medan/sushi_tei_centre_point.jpg,579,4.5,"3.5915666","98.6814184"
71,Taman Hutan Kota Cadika,Sumatera Utara,Kota Medan,medan,-,Taman,"Taman & kebun sederhana dengan kolam, area piknik, fasilitas olahraga, & tempat bermain.",https://storage.googleapis.com/travelease-bucket/medan/taman_hutan_kota_cadika.jpg,5517,4.4,"3.529949","98.662668"
72,Swiss-Belinn,North Sumatra,Medan City,medan,+62 61 88815531,Hotel,"Casual rooms & suites in a laid-back hotel with free breakfast, a restaurant & a spa.",https://storage.googleapis.com/travelease-bucket/medan/swiss-belinn.jpg,5494,4.3,"3.5833887","98.685059"
